date,mean
2006-12-31,0.84
2007-12-31,0.71
2008-12-31,0.82
2009-12-31,0.92
2010-12-31,0.8
2011-12-31,0.85
2012-12-31,0.72
2013-12-31,0.8
2014-12-31,0.83
2015-12-31,0.92
2016-12-31,0.68
2017-12-31,0.84
2018-12-31,0.79
2019-12-31,0.68
2020-12-31,0.7
2021-12-31,0.75
2022-12-31,0.77
2023-12-31,0.75
2024-12-31,0.84
2025-12-31,0.79
2026-12-31,0.81
2027-12-31,0.71
2028-12-31,0.74
2029-12-31,0.72
2030-12-31,0.79
2031-12-31,0.79
2032-12-31,0.82
2033-12-31,0.72
2034-12-31,0.71
2035-12-31,0.67
2036-12-31,0.9
2037-12-31,0.93
2038-12-31,0.73
2039-12-31,0.76
2040-12-31,0.79
2041-12-31,0.75
2042-12-31,0.71
2043-12-31,0.74
2044-12-31,0.83
2045-12-31,0.71
2046-12-31,0.68
2047-12-31,0.75
2048-12-31,0.76
2049-12-31,0.69
2050-12-31,0.77
2051-12-31,0.8
2052-12-31,0.81
2053-12-31,0.72
2054-12-31,0.99
2055-12-31,0.64
2056-12-31,0.78
2057-12-31,0.75
2058-12-31,0.68
2059-12-31,0.76
2060-12-31,0.82
2061-12-31,0.93
2062-12-31,0.77
2063-12-31,0.71
2064-12-31,0.9
2065-12-31,0.72
2066-12-31,0.74
2067-12-31,0.71
2068-12-31,0.77
2069-12-31,0.81
2070-12-31,0.8
2071-12-31,0.83
2072-12-31,0.65
2073-12-31,0.79
2074-12-31,0.81
2075-12-31,0.65
2076-12-31,0.76
2077-12-31,0.73
2078-12-31,0.82
2079-12-31,0.76
2080-12-31,0.95
2081-12-31,0.75
2082-12-31,0.79
2083-12-31,0.66
2084-12-31,0.77
2085-12-31,0.82
2086-12-31,0.77
2087-12-31,0.75
2088-12-31,0.83
2089-12-31,0.81
2090-12-31,0.75
2091-12-31,0.77
2092-12-31,0.66
2093-12-31,0.75
2094-12-31,0.81
2095-12-31,0.85
2096-12-31,0.88
2097-12-31,0.87
2098-12-31,0.8
2099-12-31,0.84
